2016-4-11 16:49:25,Hassenfeld,567,2015-2016,7,"A double with a decent amount of room. In a quiet area because it's at the end of the hall, but you can hear the people around you if they're loud. Close to the girl's bathroom on the fifth floor.",#thinwalls,"loud heater, thin walls, window only on one side of the room",3,4,1,4
2016-4-11 19:30:04,Pomerantz,624,2015-16,9,I overhear a lot of stuff and bugs exist here O.o,#mostlygreatsometimesmeh,Girls don't flush toilets -_-,4,4,2,5
2015-4-11 20:50:40,Ziv 128,501a,15,5,people beneath are smoking all the time,#LivingInChimney,,4,2,2,3
2016-4-11 20:57:15,Pomerantz,501,2015-2016,7,"The room is cozy but comfortable for two people. There is adequate space for the beds, dressers, closets, and desks provided with leftover space for other furniture if necessary. The view of the Boston skyline is also a huge plus.",#thinwalls #eastbugs #bostonskyline,"I was not a huge fan of having one brick wall and one white wall but I got used to it eventually. Unfortunately, our window was broken the whole year and so it was a bit of a hassle to open and close it. We were too lazy to put in a work order, but I'm sure if we did, it would've gotten fixed. Also, our heater would sometimes start clanging obnoxiously in the middle of the night, which was super annoying. Also, we had a few surprise attacks from east bugs dropping from the ceiling...",3,3,3,4
2016-4-11 20:59:31,Hassenfeld,453,2015-2016,8,Very nice room but east is extremely loud. I could hear everything that happened in the hall or other rooms and regularly lost sleep because of this. ,#loud,,4,5,3,4
2016-11-12 00:25:36,Pomerantz,115,Fall 2015,4,very small,#eastBugs,,3,2,2,4
2016-4-12 11:59:33,Hassenfeld,567,2015-2016,6,"Room is decent for living, bathrooms are pretty nice, people around us are sometimes pretty loud. The window is only on one side of the room so the side without the window does not get much light except for early in the morning, when it comes through, shines on the bed and wakes the person up.",#thinwalls,Window screen warped,3,4,3,2
2016-12-12 12:17:21,Pomerantz,424,Fall 2015,8,"Loved this room! Had four big windows facing the Intercultural Center, which meant a lot of sunlight during the day but also that people can look into my room pretty easily. The brick walls added to the nice aesthetic. ",#shoeboxsingle ,No heat.,5,3,2,4
2016-4-12 20:36:22,North,401b,2014-2016,7,"It was really hot sometimes. There was only one bathroom among 4 people. If someone had to use the bathroom while someone was taking a shower it was mad awkward. I lived in a double and it was pretty spacious though. It was fun. However, it was hot during the summer. During the winter, if you turned off the heater, it was cold. But if you turned the heater on, it was SO HOT. Living on the top floor is also sad, there are so many stairs.",#loud #broken,clogged shower,3,4,5,4
2015-4-12 20:37:37,South,401a,2014-2015,7,"I gave it a 7 because it was an amazing experience, but as a room I can't say it was that great. It's kind of what you expect from a college dorm. Hot in the summer, hot in the winter, always hot. If you live here with the right people, you will have a great time. Complaints that may make it not a fun time are listed later...",#social #thinwalls #mediocre #hot,"The heater was too strong on minimum settings. The bathroom got very dirty very quickly due to poor ventilation. Lastly my room had a slight ant problem towards the beginning of the year. I got rid of them, but it was very annoying.",3,4,4,3
2015-4-12 20:46:44,Hassenfeld,439,2014-2015,8,"It was a pretty decent double with a great view of the Boston skyline. The heating was nice during the winter and for the most part it was pretty comfortable and homey. Sometimes it would get noisy since the room is right next to the lounge of the fourth floor, but it was fine. Also, there are mixed gender bathrooms which was a totally weird/new experience that might only happen in Brandeis.",#loungeloudness #thinwalls #maintenance ,"The showers got clogged quite frequently and the smell from the bathroom was sometimes unbearable, but only for the few minutes I was there. One time during the year I remember the netted part of the window also started falling out and had to call the maintenance people to fix it, which they did pretty quickly. Also, the heater would get especially loud during the night sometimes when it was turning on and off. ",3,4,4,3
2014-4-12 20:47:36,Gordon,3rd floor,2013-2014,5,"This room was relatively spacious for a double. Other than that it was pretty standard. Moderately clean, but definitely prone to getting messy. Having carpet was nice but perhaps it made it harder to clean. I will say that you do feel a bit isolated from the rest of the campus. My hall also happened to be one that wasn't too social.",#standard #quiet #thinwalls,The heater was very loud and sometimes it was hard to sleep. ,3,4,2,2
2014-4-13 12:05:09,Shapiro,floor 1 boy side,2013-2014,3,heater can't turn off....waste of money....had to open windows,#open,same as top,3,3,4,3
2016-4-13 22:02:30,"George E. Lewis, 178 Charles River Road",3rd floor,2015-2016,6,I don't really live in my dorm due to roommate and her boyfriend.,#thinwalls #canheareverything #weedsmell #poteverywhere # #cigarettesmell #,"broken toilet paper roll holder, drafty windows, clogged shower, charged for penny issue even though wasn't involved ",3,5,2,3
2016-4-13 22:09:45,Ridgewood B,3rd Floor,Fall 2015-Spring 2016,8,,#thinwalls,The kitchen disposal stopped working several times,4,4,3,5
2015-4-13 22:57:11,Cable,101,2014-2015,8,"A nice little room with a great view of the quad from the spacious window. Close to the door out of the building (though far from the rest of campus). Not too far from the bathroom, and at the other end of the hall from the laundry room, meaning you don't hear the noise or feel the heat from the dryers. I don't remember having trouble with noise from the stairs, either. The hall has fewer people in it than most, which meant it was quiet but perhaps lonely if you like the community of dorm living.",#quiet #goodView,"Heaters were loud, but that's to be expected. The bathroom wasn't that nice, but not horrible either.",4,3,1,3
2016-4-13 23:01:13,Pomerantz,414,2015-2016,7,"Brick wall on one side, plaster on the other. A good size for a dorm. Not too noisy, and the bathrooms are rather nice. ",#narrow #comfortable,"Pomerantz is always several degrees warmer than the outside temperature, and this room is HOT when it's warm out. The window is pretty small. The brick wall looks a little ugly with splotches on it. ",3,2,2,3
2016-4-15 00:22:45,Ziv 128,402c,2015-2016,7,individual room and common space are a decent size. shower is very tight and not handicap accessible. a/c system shared between two rooms but only one room gets to control it.,#fluorescent#lights,,5,3,4,5
2016-4-19 18:07:25,Usen Castle,D105,2015-2016,4,The room itself is pretty big and has a nice window but there are way too many issues for it to be good.,#Deathtrap,"Windows didn't keep in heat, showers are too small and clogged, drawers were hard to open, walls were really thin, ceiling tiles would blow up when I opened the window, the walls shook when events happened in the Commons, and a piece of the ceiling fell down.",2,4,1,3
